day	hour	value
1	1	1
1	2	1
1	3	1
1	4	1
1	5	0
1	6	0
1	7	1
1	8	1
1	9	0
2	1	0
2	2	0
2	3	1
2	4	1
2	5	0
2	6	1
2	7	1
2	8	1
2	9	0
3	1	0
3	2	0
3	3	1
3	4	1
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
4	1	0
4	2	0
4	3	1
4	4	1
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
5	1	1
5	2	1
5	3	1
5	4	1
5	5	0
5	6	0
5	7	1
5	8	1
5	9	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
